"state","year","age","population"
"AM",2034,35,749412
"AM",2034,45,625916
"AM",2034,55,445746
"AM",2034,65,256945
"AM",2034,75,134730
"AM",2034,90,12501
"AM",2035,25,785247
"AM",2035,35,759038
"AM",2035,45,634844
"AM",2035,55,462415
"AM",2035,65,267154
"AM",2035,75,141817
"AM",2035,90,13153
"AM",2036,25,782641
"AM",2036,35,768510
"AM",2036,45,643290
"AM",2036,55,479111
"AM",2036,65,277648
"AM",2036,75,149167
"AM",2036,90,13840
"AM",2037,25,784461
"AM",2037,35,774534
"AM",2037,45,651004
"AM",2037,55,495894
"AM",2037,65,288367
"AM",2037,75,156780
"AM",2037,90,14575
"AM",2038,25,789000
"AM",2038,35,777776
"AM",2038,45,658659
"AM",2038,55,512276
"AM",2038,65,299471
"AM",2038,75,164641
"AM",2038,90,15369
"AM",2039,25,796898
"AM",2039,35,777734
"AM",2039,45,667266
"AM",2039,55,527519
"AM",2039,65,311258
"AM",2039,75,172677
"AM",2039,90,16256
"AM",2040,25,803300
"AM",2040,35,777452
"AM",2040,45,677359
"AM",2040,55,541199
"AM",2040,65,323856
"AM",2040,75,180894
"AM",2040,90,17232
"AM",2041,25,804391
"AM",2041,35,777482
"AM",2041,45,688790
"AM",2041,55,553419
"AM",2041,65,337158
"AM",2041,75,189321
"AM",2041,90,18302
"AM",2042,25,804594
"AM",2042,35,776099
"AM",2042,45,701711
"AM",2042,55,564153
"AM",2042,65,351132
"AM",2042,75,197977
"AM",2042,90,19467
"AM",2043,25,805680
"AM",2043,35,774428
"AM",2043,45,715023
"AM",2043,55,573710
"AM",2043,65,365597
"AM",2043,75,206877
"AM",2043,90,20711
"AM",2044,25,805867
"AM",2044,35,773786
"AM",2044,45,726988
"AM",2044,55,582610
"AM",2044,65,380284
"AM",2044,75,216043
"AM",2044,90,22021
"AM",2045,25,807327
"AM",2045,35,772881
"AM",2045,45,736512
"AM",2045,55,591241
"AM",2045,65,394966
"AM",2045,75,225490
"AM",2045,90,23388
"AM",2046,25,809137
"AM",2046,35,770536
"AM",2046,45,745872
"AM",2046,55,599446
"AM",2046,65,409649
"AM",2046,75,235205
"AM",2046,90,24822
"AM",2047,25,808972
"AM",2047,35,772514
"AM",2047,45,751858
"AM",2047,55,606985
"AM",2047,65,424381
"AM",2047,75,245134
"AM",2047,90,26342
"AM",2048,25,807458
"AM",2048,35,777145
"AM",2048,45,755127
"AM",2048,55,614488
"AM",2048,65,438744
"AM",2048,75,255416
"AM",2048,90,27928
"AM",2049,25,803901
"AM",2049,35,785065
"AM",2049,45,755207
"AM",2049,55,622893
"AM",2049,65,452103
"AM",2049,75,266266
"AM",2049,90,29575
"AM",2050,25,799794
"AM",2050,35,791508
"AM",2050,45,755082
"AM",2050,55,632691
"AM",2050,65,464114
"AM",2050,75,277780
"AM",2050,90,31274
"AM",2051,25,798394
"AM",2051,35,792741
"AM",2051,45,755295
"AM",2051,55,643727
"AM",2051,65,474875
"AM",2051,75,289894
"AM",2051,90,33029
"AM",2052,25,796941
"AM",2052,35,793104
"AM",2052,45,754152
"AM",2052,55,656166
"AM",2052,65,484368
"AM",2052,75,302589
"AM",2052,90,34842
"AM",2053,25,793597
"AM",2053,35,794328
"AM",2053,45,752758
"AM",2053,55,668933
"AM",2053,65,492874
"AM",2053,75,315716
"AM",2053,90,36717
"AM",2054,25,790304
"AM",2054,35,794667
"AM",2054,45,752361
"AM",2054,55,680388
"AM",2054,65,500842
"AM",2054,75,329083
"AM",2054,90,38638
"AM",2055,25,787109
"AM",2055,35,796242
"AM",2055,45,751683
"AM",2055,55,689501
"AM",2055,65,508614
"AM",2055,75,342505
"AM",2055,90,40608
"AM",2056,25,783877
"AM",2056,35,798152
"AM",2056,45,749609
"AM",2056,55,698448
"AM",2056,65,516055
"AM",2056,75,355968
"AM",2056,90,42643
"AM",2057,25,780519
"AM",2057,35,798122
"AM",2057,45,751712
"AM",2057,55,704145
"AM",2057,65,522947
"AM",2057,75,369489
"AM",2057,90,44750
"AM",2058,25,777135
"AM",2058,35,796773
"AM",2058,45,756363
"AM",2058,55,707249
"AM",2058,65,529858
"AM",2058,75,382803
"AM",2058,90,46939
"AM",2059,25,773785
"AM",2059,35,793417
"AM",2059,45,764181
"AM",2059,55,707366
"AM",2059,65,537569
"AM",2059,75,395591
"AM",2059,90,49209
"AM",2060,25,770544
"AM",2060,35,789515
"AM",2060,45,770573
"AM",2060,55,707373
"AM",2060,65,546494
"AM",2060,75,407647
"AM",2060,90,51565
"AP",2010,25,120518
"AP",2010,35,85033
"AP",2010,45,52430
"AP",2010,55,28153
"AP",2010,65,14986
"AP",2010,75,7308
"AP",2010,90,1066
"AP",2011,25,124423
"AP",2011,35,88891
"AP",2011,45,55052
"AP",2011,55,30036
"AP",2011,65,15600
"AP",2011,75,7713
"AP",2011,90,1068
"AP",2012,25,128224
"AP",2012,35,92770
"AP",2012,45,57755
"AP",2012,55,32117
"AP",2012,65,16202
"AP",2012,75,8131
"AP",2012,90,1079
"AP",2013,25,131905
"AP",2013,35,96676
"AP",2013,45,60571
"AP",2013,55,34328
"AP",2013,65,16829
"AP",2013,75,8573
"AP",2013,90,1095
"AP",2014,25,135449
"AP",2014,35,100625
"AP",2014,45,63550
"AP",2014,55,36574
"AP",2014,65,17530
"AP",2014,75,9047
"AP",2014,90,1118
"AP",2015,25,138853
"AP",2015,35,104625
"AP",2015,45,66706
"AP",2015,55,38799
"AP",2015,65,18342
"AP",2015,75,9558
"AP",2015,90,1149
"AP",2016,25,142073
"AP",2016,35,108659
"AP",2016,45,70042
"AP",2016,55,41015
"AP",2016,65,19265
"AP",2016,75,10107
"AP",2016,90,1189
"AP",2017,25,145047
"AP",2017,35,112728
"AP",2017,45,73564
"AP",2017,55,43217
"AP",2017,65,20300
"AP",2017,75,10704
"AP",2017,90,1238
"AP",2018,25,147874
"AP",2018,35,116789
"AP",2018,45,77220
"AP",2018,55,45435
"AP",2018,65,21464
"AP",2018,75,11326
"AP",2018,90,1297
"AP",2019,25,150712
"AP",2019,35,120783
"AP",2019,45,80928
"AP",2019,55,47724
"AP",2019,65,22792
"AP",2019,75,11932
"AP",2019,90,1361
"AP",2020,25,153652
"AP",2020,35,124678
"AP",2020,45,84648
"AP",2020,55,50109
"AP",2020,65,24279
"AP",2020,75,12512
"AP",2020,90,1430
"AP",2021,25,156635
"AP",2021,35,128460
"AP",2021,45,88384
"AP",2021,55,52591
"AP",2021,65,25927
"AP",2021,75,13077
"AP",2021,90,1503
"AP",2022,25,159606
"AP",2022,35,132139
"AP",2022,45,92154
"AP",2022,55,55142
"AP",2022,65,27739
"AP",2022,75,13626
"AP",2022,90,1591
