"variant","disease","group","subgroup","N","MAE","MRE","RMSE","Bias","Cov_80","Cov_95"
"nb5_drift","Eye & Appendage Diseases","Region","Southeast",420,718.206,0.5399,1278.68,99.421,85,99.3
"nb5_drift","Eye & Appendage Diseases","Region","South",315,539.575,0.5424,1089.851,290.623,91.1,97.1
"nb5_drift_expo","Glaucoma","Age","25-34",345,2.403,1.0867,3.669,1.59,90.1,98.3
"nb5_drift_expo","Glaucoma","Age","35-44",390,3.171,0.9241,4.849,2.423,98.5,99.7
"nb5_drift_expo","Glaucoma","Age","45-54",390,3.662,0.8587,5.47,1.362,99,100
"nb5_drift_expo","Glaucoma","Age","55-64",375,8.954,1.0115,14.486,-6.373,94.9,99.2
"nb5_drift_expo","Glaucoma","Age","65-74",405,28.068,1.5636,47.507,-24.771,85.9,98.5
"nb5_drift_expo","Glaucoma","Age","75-89",375,33.395,2.8516,58.93,-21.819,94.9,99.2
"nb5_drift_expo","Glaucoma","Age","90+",345,136.542,12.1195,192.918,134.613,76.2,95.1
"nb5_drift_expo","Glaucoma","Region","North",570,12.532,5.5848,31.242,3.393,96.3,98.9
"nb5_drift_expo","Glaucoma","Region","Northeast",900,28.904,2.3439,79.161,10.423,89.9,98.4
"nb5_drift_expo","Glaucoma","Region","Center-West",420,41.606,2.8394,93.701,13.427,91.7,98.8
"nb5_drift_expo","Glaucoma","Region","Southeast",420,31.072,1.2773,66.54,7.659,91,99
"nb5_drift_expo","Glaucoma","Region","South",315,44.98,0.9889,104.155,24.417,88.6,97.8
"nb5_drift_expo","Retinopathy","Age","25-34",405,14.662,1.2962,19.941,13.802,93.6,99.8
"nb5_drift_expo","Retinopathy","Age","35-44",405,20.825,1.0809,28.538,20.24,98.8,100
"nb5_drift_expo","Retinopathy","Age","45-54",405,14.728,0.7865,21.326,6.696,99.5,100
"nb5_drift_expo","Retinopathy","Age","55-64",405,87.475,1.3542,119.809,-84.621,89.6,98.3
"nb5_drift_expo","Retinopathy","Age","65-74",405,174.96,1.7063,240.504,-171.053,82.2,99.3
"nb5_drift_expo","Retinopathy","Age","75-89",405,85.258,3.716,140.194,-36.737,98.3,99.5
"nb5_drift_expo","Retinopathy","Age","90+",390,658.494,13.1931,816.834,654.691,41.3,89.7
"nb5_drift_expo","Retinopathy","Region","North",720,61.11,8.6125,170.174,10.109,88.1,97.9
"nb5_drift_expo","Retinopathy","Region","Northeast",945,155.744,1.4915,317.289,61.742,84.1,97.8
"nb5_drift_expo","Retinopathy","Region","Center-West",420,196.583,2.3949,419.973,71.451,86.9,98.8
